split,label,image_path,xmin,ymin,xmax,ymax,crop_path
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\_storage_emulated_0_DCIM_Camera_IMG_20251121_120735_jpg.rf.86a260561271577efd1757d3c17075ae.jpg,22,240,428,393,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next__storage_emulated_0_DCIM_Camera_IMG_20251121_120735_jpg.rf.86a260561271577efd1757d3c17075ae_0_228_460_405.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\_storage_emulated_0_DCIM_Camera_IMG_20251121_120735_jpg.rf.d565a83c5224a883907e55f6ce5b028d.jpg,86,240,492,393,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next__storage_emulated_0_DCIM_Camera_IMG_20251121_120735_jpg.rf.d565a83c5224a883907e55f6ce5b028d_54_228_512_405.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\_storage_emulated_0_DCIM_Camera_IMG_20251121_120735_jpg.rf.e0a25ef7d0c514d4d0cdaa98e9489e7b.jpg,86,240,492,393,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next__storage_emulated_0_DCIM_Camera_IMG_20251121_120735_jpg.rf.e0a25ef7d0c514d4d0cdaa98e9489e7b_54_228_512_405.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\IMG20251127130759_jpg.rf.4a3536b20c6aa41ba415dbede9a7d120.jpg,130,152,357,311,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next_IMG20251127130759_jpg.rf.4a3536b20c6aa41ba415dbede9a7d120_112_140_375_323.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\IMG20251127130759_jpg.rf.bd9e1a131dabacf75a20bcaeff2c8eeb.jpg,157,152,384,311,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next_IMG20251127130759_jpg.rf.bd9e1a131dabacf75a20bcaeff2c8eeb_139_140_402_323.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\IMG20251127130759_jpg.rf.fe22efe33fa4317335c656f21b2c9bcd.jpg,157,152,384,311,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next_IMG20251127130759_jpg.rf.fe22efe33fa4317335c656f21b2c9bcd_139_140_402_323.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\IMG20251127130807_jpg.rf.a86a8ebc00b5210e601b1e7f548b7c6b.jpg,95,193,322,348,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next_IMG20251127130807_jpg.rf.a86a8ebc00b5210e601b1e7f548b7c6b_77_181_340_360.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\IMG20251127130807_jpg.rf.e54574e8680eb1a556ae76dc083293a2.jpg,192,193,419,348,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next_IMG20251127130807_jpg.rf.e54574e8680eb1a556ae76dc083293a2_174_181_437_360.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\IMG20251127130807_jpg.rf.e7480a9572b010cbc1ccc04c8d10281a.jpg,95,193,322,348,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next_IMG20251127130807_jpg.rf.e7480a9572b010cbc1ccc04c8d10281a_77_181_340_360.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\IMG20251127130810_jpg.rf.2b65f7285f08a3b93ed6243553ad7b07.jpg,118,228,319,366,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next_IMG20251127130810_jpg.rf.2b65f7285f08a3b93ed6243553ad7b07_102_217_335_377.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\IMG20251127130810_jpg.rf.43797ee7b3285ebf910794b55d82c77e.jpg,118,228,319,366,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next_IMG20251127130810_jpg.rf.43797ee7b3285ebf910794b55d82c77e_102_217_335_377.jpg
train,next,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\IMG20251127130810_jpg.rf.52e3bb84915e20913d6e86f9121d7bd2.jpg,195,228,396,366,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/next/train_next_IMG20251127130810_jpg.rf.52e3bb84915e20913d6e86f9121d7bd2_179_217_412_377.jpg
train,previous,c:\Users\Lenovo\Documents\CODING\Python\computer_vision\HandGesturePresentationController\Dataset_roboflow\train\IMG20251127130839_jpg.rf.125bc0f2d3242a814fbb6399cea57fd4.jpg,98,186,298,333,c:/Users/Lenovo/Documents/CODING/Python/computer_vision/HandGesturePresentationController/dataset_final/train/previous/train_previous_IMG20251127130839_jpg.rf.125bc0f2d3242a814fbb6399cea57fd4_82_175_314_344.jpg
